description,effective_domain_size,goshv,intersection_size,name,native,p_value,parents,precision,query,query_size,recall,significant,source,term_size,source_order,group_id
"""The cellular metabolic process in which a protein is formed, using the sequence of a mature mRNA or circRNA molecule to specify the sequence of amino acids in a polypeptide chain. Translation is mediated by the ribosome, and begins with the formation of a ternary complex between aminoacylated initiator methionine tRNA, GTP, and initiation factor 2, which subsequently associates with the small subunit of the ribosome and an mRNA or circRNA. Translation ends with the release of a polypeptide chain from the ribosome."" [GOC:go_curators]",20972,12185,22,translation,GO:0006412,2.0002012279917386e-08,"['GO:0009059', 'GO:0019538', 'GO:0160307']",0.2037037037037037,query_1,108,0.03089887640449438,True,GO:BP,712,2062,2
"""The chemical reactions and pathways resulting in the formation of protein."" [Wikipedia:Protein_biosynthesis]",20972,29162,22,protein biosynthetic process,GO:0160307,2.0002012279917386e-08,"['GO:0009059', 'GO:0010467', 'GO:0019538']",0.2037037037037037,query_1,108,0.03089887640449438,True,GO:BP,712,19039,2
GTP hydrolysis and joining of the 60S ribosomal subunit,11056,40399,12,GTP hydrolysis and joining of the 60S ribosomal subunit,REAC:R-HSA-72706,5.096855908692288e-08,['REAC:R-HSA-72737'],0.13186813186813187,query_1,91,0.10619469026548672,True,REAC,113,1075,14
Eukaryotic Translation Initiation,11056,40235,12,Eukaryotic Translation Initiation,REAC:R-HSA-72613,1.0379022865001654e-07,['REAC:R-HSA-72766'],0.13186813186813187,query_1,91,0.1,True,REAC,120,911,14
Cap-dependent Translation Initiation,11056,39645,12,Cap-dependent Translation Initiation,REAC:R-HSA-72737,1.0379022865001654e-07,['REAC:R-HSA-72613'],0.13186813186813187,query_1,91,0.1,True,REAC,120,321,14
rRNA processing in the nucleus and cytosol,11056,42155,14,rRNA processing in the nucleus and cytosol,REAC:R-HSA-8868773,2.0697292096170756e-07,['REAC:R-HSA-72312'],0.15384615384615385,query_1,91,0.07291666666666667,True,REAC,192,2831,15
rRNA processing,11056,42153,14,rRNA processing,REAC:R-HSA-72312,4.0425962495181453e-07,['REAC:R-HSA-8953854'],0.15384615384615385,query_1,91,0.06930693069306931,True,REAC,202,2829,15
L13a-mediated translational silencing of Ceruloplasmin expression,11056,40669,11,L13a-mediated translational silencing of Ceruloplasmin expression,REAC:R-HSA-156827,7.447014619188651e-07,['REAC:R-HSA-72613'],0.12087912087912088,query_1,91,0.09821428571428571,True,REAC,112,1345,14
Major pathway of rRNA processing in the nucleolus and cytosol,11056,40773,13,Major pathway of rRNA processing in the nucleolus and cytosol,REAC:R-HSA-6791226,1.175687229372569e-06,['REAC:R-HSA-8868773'],0.14285714285714285,query_1,91,0.07142857142857142,True,REAC,182,1449,15
Formation of a pool of free 40S subunits,11056,40318,10,Formation of a pool of free 40S subunits,REAC:R-HSA-72689,4.368072879909969e-06,['REAC:R-HSA-72737'],0.10989010989010989,query_1,91,0.09803921568627451,True,REAC,102,994,14
